product_id,summary,summary_en,common_positives,common_cautions,source_url,verified_at
cosrx-low-ph-good-morning-gel-cleanser,큐레이션 리뷰 신호: 지성/복합성 피부에서 가벼운 젤 클렌징으로 언급되는 편입니다. 티트리와 살리실레이트 계열 성분은 매우 예민한 피부에는 부담이 될 수 있습니다.,Curated review signal: Often mentioned as a lightweight gel cleanser for oily and combination skin. Tea tree and salicylate-related ingredients may feel harsh on very sensitive skin.,가벼움|세정력|유분 케어,건조감 가능|에센셜오일 민감 주의,https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser,2026-05-04
aestura-atobarrier-365-cream,큐레이션 리뷰 신호: 민감 피부 장벽 케어용 크림으로 신뢰도가 높은 편입니다. 리치한 사용감이라 산뜻한 마무리를 원하면 부담될 수 있습니다.,Curated review signal: A well-regarded barrier-care cream for sensitive skin. The rich feel may be too much if you want a fresh finish.,장벽 케어|민감 피부|고보습,산뜻한 제형 선호 시 무거움,https://int.aestura.com/products/atobarrier365-cream,2026-05-12
dr-g-red-blemish-clear-soothing-cream,큐레이션 리뷰 신호: 젤 크림 타입의 진정 크림으로 트러블과 붉은기 루틴에 자주 쓰입니다. 나이아신아마이드 민감 사용자는 확인이 필요합니다.,Curated review signal: A gel-cream soothing moisturizer often used for blemish and redness routines. Niacinamide-sensitive users should review it.,진정|젤 크림|트러블 루틴,나이아신아마이드 민감 주의,https://dr-g.com/collections/moisturizer-hydration/products/dr-g-red-blemish-clear-soothing-cream,2026-05-12
torriden-dive-in-soothing-cream,큐레이션 리뷰 신호: 히알루론산 기반의 젤 크림으로 수분감과 산뜻한 마무리를 찾을 때 언급됩니다.,Curated review signal: A hyaluronic-acid gel cream often mentioned for hydration with a lighter finish.,수분감|젤 크림|산뜻함,히알루론산 회피 시 제외,https://torriden.us/products/dive-in-soothing-cream,2026-05-12
round-lab-birch-juice-moisturizing-sunscreen,큐레이션 리뷰 신호: 촉촉한 데일리 선크림으로 건성/복합성 피부에서 자주 언급됩니다. 지성 피부에는 윤광이 부담될 수 있습니다.,Curated review signal: A moisturizing daily sunscreen often mentioned for dry and combination skin. Oily skin may find the glow too much.,수분감|데일리 선크림|윤광,지성 피부 윤광 부담 가능,https://roundlab.com/products/birch-juice-moisturizing-sunscreen,2026-05-12
skin1004-hyalu-cica-water-fit-sun-serum,큐레이션 리뷰 신호: 세럼 같은 가벼운 선크림으로 수분과 진정 루틴에 잘 맞습니다. 히알루론산 회피 사용자는 제외 대상입니다.,Curated review signal: A lightweight serum-like sunscreen that fits hydration and soothing routines. Users avoiding hyaluronic acid should skip it.,가벼움|수분감|진정,히알루론산 회피 시 제외,https://www.skin1004.com/products/hyalu-cica-water-fit-sun-serum-uv,2026-05-12
dr-g-green-mild-up-sun-plus,큐레이션 리뷰 신호: 무기자차 포지션의 마일드 선크림으로 민감성/지성 루틴에서 언급됩니다. 건성 피부는 보습 단계를 충분히 두는 편이 좋습니다.,Curated review signal: A mild mineral sunscreen often mentioned for sensitive and oily routines. Dry skin should layer enough moisturizer first.,무기자차|마일드|유분 케어,건성 피부 건조감 가능,https://fda.report/DailyMed/30D49F24-3E13-385F-E063-6294A90AB5C8.pdf,2026-05-12
haruharu-wonder-black-rice-airyfit-sunscreen,큐레이션 리뷰 신호: 산뜻한 데일리 선크림으로 지성/복합성 피부에서 선호 신호가 있습니다. 나이아신아마이드 민감 사용자는 성분 확인이 필요합니다.,Curated review signal: A fresh daily sunscreen with positive signals from oily and combination skin. Niacinamide-sensitive users should review the ingredient list.,산뜻함|데일리 선크림|향료 프리,나이아신아마이드 민감 주의,https://haruharuwonder.com/products/haruharuwonder-black-rice-moisture-airyfit-daily-sunscreen-unscented-spf50-50ml,2026-05-12
anua-heartleaf-pore-control-cleansing-oil,큐레이션 리뷰 신호: 메이크업과 선크림 세정용 1차 클렌저로 자주 선택됩니다. 민감성 피부는 오일 베이스와 식물 오일 조합을 확인하는 편이 좋습니다.,Curated review signal: Often chosen as a first cleanser for makeup and sunscreen. Sensitive skin should review the oil base and botanical oils.,메이크업 세정|포어 케어|오일 클렌징,민감 피부 오일 조합 주의,https://anua.com/products/heartleaf-pore-control-cleansing-oil-200ml?_pos=7&_sid=bb6201def&_ss=r,2026-05-12
beauty-of-joseon-green-plum-refreshing-cleanser,큐레이션 리뷰 신호: 약산성 젤 클렌저로 데일리 세안과 산뜻한 마무리에 잘 맞습니다.,Curated review signal: A low-pH gel cleanser that fits daily cleansing and a fresh finish.,약산성|젤 클렌저|산뜻함,강한 세정력을 원하면 순하게 느껴질 수 있음,https://beautyofjoseon.com/products/green-plum-refreshing-cleanser,2026-05-12
round-lab-birch-juice-moisturizing-cleanser,큐레이션 리뷰 신호: 자작나무 수분 라인의 촉촉한 클렌저로 세안 후 당김을 줄이고 싶은 사용자에게 맞습니다.,Curated review signal: A birch-juice cleanser suited to users who want less tightness after cleansing.,수분감|저자극 포지셔닝|젤 클렌저,히알루론산 회피 시 제외,https://www.ulta.com/p/birch-juice-moisturizing-cleanser-pimprod2049655?sku=2636334,2026-05-12
anua-heartleaf-77-clear-pad,큐레이션 리뷰 신호: 어성초와 PHA 기반의 데일리 패드로 결 정돈과 진정 루틴에 자주 언급됩니다.,Curated review signal: A heartleaf and PHA daily pad often mentioned for texture care and calming routines.,결 케어|진정|패드 편의성,산 성분 민감 주의,https://anua.com/products/heartleaf-77-toner-pad-160ml,2026-05-12
needly-daily-toner-pad,큐레이션 리뷰 신호: 각질과 피지 케어 패드로 인기가 높습니다. 살리실레이트 민감 사용자는 피하는 편이 좋습니다.,Curated review signal: A popular pad for exfoliation and sebum care. Salicylate-sensitive users should avoid it.,결 케어|피지 케어|패드 편의성,살리실레이트 민감 주의,https://needly.us/products/daily-toner-pad,2026-05-12
tirtir-milk-skin-toner,큐레이션 리뷰 신호: 우유빛 보습 토너로 윤광과 장벽 루틴에 맞습니다. 지성 피부에는 리치하게 느껴질 수 있습니다.,Curated review signal: A milky toner for glow and barrier routines. It may feel rich for oily skin.,윤광|보습|장벽 케어,지성 피부 무거움 가능,https://tirtir.us/products/milk-skin-toner,2026-05-12
im-from-rice-toner,큐레이션 리뷰 신호: 라이스 기반의 윤광 토너로 건성/복합성 피부에서 톤과 보습 루틴에 쓰입니다.,Curated review signal: A rice-based glow toner used in tone and hydration routines for dry and combination skin.,윤광|쌀 추출물|보습,지성 피부 사용량 조절,https://www.ulta.com/p/rice-toner-pimprod2051769?sku=2642147,2026-05-12
anua-niacinamide-10-txa-4-serum,큐레이션 리뷰 신호: 나이아신아마이드와 TXA 중심의 잡티 케어 세럼입니다. 민감성 피부는 천천히 도입하는 편이 좋습니다.,Curated review signal: A dark-spot serum centered on niacinamide and TXA. Sensitive skin should introduce it gradually.,잡티 케어|톤 케어|나이아신아마이드,나이아신아마이드 민감 주의,https://anua.com/products/niacinamide-10-txa-4-serum-2?_pos=2&_psq=txa&_ss=e&_v=1.0,2026-05-12
manyo-bifida-biome-complex-ampoule,큐레이션 리뷰 신호: 비피다 발효 성분 기반의 장벽 앰플로 건조와 장벽 루틴에 자주 언급됩니다.,Curated review signal: A bifida ferment ampoule often mentioned for dryness and barrier routines.,장벽 케어|발효 성분|보습,발효 성분 민감 주의,https://manyo.us/products/bifida-biome-complex-ampoule,2026-05-12
dr-g-red-blemish-soothing-ampoule,큐레이션 리뷰 신호: 트러블성 피부의 진정 앰플로 쓰이는 제품입니다. 허브 추출물 민감 사용자는 확인이 필요합니다.,Curated review signal: A soothing ampoule used in blemish-prone routines. Users sensitive to herbal extracts should review it.,진정|트러블 루틴|가벼움,허브 추출물 민감 주의,https://incidecoder.com/products/dr-g-r-e-d-blemish-soothing-ampoule,2026-05-12
isntree-tw-real-bifida-ampoule,큐레이션 리뷰 신호: 비피다 기반의 장벽 앰플로 탄력과 보습 루틴에 맞습니다.,Curated review signal: A bifida-based barrier ampoule suited to elasticity and hydration routines.,장벽 케어|탄력|보습,발효 성분 민감 주의,https://isntree-global.com/products/isntree-tw-real-bifida-ampoule-50ml,2026-05-12
haruharu-wonder-black-rice-hyaluronic-toner,큐레이션 리뷰 신호: 블랙라이스와 히알루론산 기반의 수분 토너입니다. 라벤더 오일에 민감하면 피하는 편이 좋습니다.,Curated review signal: A black-rice and hyaluronic-acid toner. Users sensitive to lavender oil should avoid it.,수분감|블랙라이스|윤광,향 성분 민감 주의,https://haruharuwonder.com/products/haruharuwonder-black-rice-hyaluronic-toner?variant=46561792229625,2026-05-12
round-lab-birch-juice-moisturizing-cream,큐레이션 리뷰 신호: 산뜻한 젤 크림형 보습제로 수분 부족 피부에 잘 맞습니다.,Curated review signal: A fresh gel-cream moisturizer suited to dehydrated skin.,수분감|젤 크림|자작나무 라인,히알루론산 회피 시 제외,https://www.ulta.com/p/birch-juice-moisturizing-cream-pimprod2049656?sku=2636336,2026-05-12
skin1004-probio-cica-enrich-cream,큐레이션 리뷰 신호: 프로바이오시카 라인의 리치한 장벽 크림으로 건성/민감성 피부에 맞습니다.,Curated review signal: A rich Probio-Cica barrier cream suited to dry and sensitive skin.,장벽 케어|시카|고보습,지성 피부에는 무거울 수 있음,https://www.skin1004.com/products/probio-cica-enrich-cream,2026-05-12
anua-heartleaf-70-intense-calming-cream,큐레이션 리뷰 신호: 어성초와 세라마이드 기반의 진정 크림입니다. 건조하고 예민한 피부에 맞습니다.,Curated review signal: A heartleaf and ceramide calming cream suited to dry and sensitive skin.,진정|세라마이드|보습,지성 피부 무거움 가능,https://anua.com/products/heartleaf-70-intense-calming-cream-50ml,2026-05-12
beauty-of-joseon-dynasty-cream,큐레이션 리뷰 신호: 쌀겨수와 진생 기반의 윤광 크림입니다. 산뜻함보다 보습감이 우선일 때 잘 맞습니다.,Curated review signal: A rice-bran and ginseng glow cream. It fits users prioritizing moisture over a fresh finish.,윤광|보습|장벽 보조,지성 피부 사용량 조절,https://beautyofjoseon.com/products/dynasty-cream,2026-05-12
anua-heartleaf-silky-moisture-sun-cream,큐레이션 리뷰 신호: 어성초 기반의 촉촉한 데일리 선크림입니다. 나이아신아마이드 민감 사용자는 성분 확인이 필요합니다.,Curated review signal: A heartleaf-based moisturizing daily sunscreen. Niacinamide-sensitive users should review the ingredient list.,데일리 선크림|수분감|진정,나이아신아마이드 민감 주의,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1eab0227-dc57-34d3-e063-6394a90a1bf9,2026-05-12
isntree-onion-newpair-sunscreen,큐레이션 리뷰 신호: 톤 케어 포지션의 선크림으로 잡티와 붉은기 고민에 언급됩니다.,Curated review signal: A tone-care sunscreen mentioned for dark spots and redness concerns.,톤 케어|데일리 선크림|가벼움,민감 피부 따가움 가능,https://isntree-global.com/products/isntree-onion-newpair-sunscreen-50ml,2026-05-12
beauty-of-joseon-matte-sun-stick-mugwort-camelia,큐레이션 리뷰 신호: 보송한 재도포용 선스틱으로 유분이 많은 피부에 잘 맞습니다. 건성 피부에는 건조하게 느껴질 수 있습니다.,Curated review signal: A matte reapplication sun stick suited to oily skin. Dry skin may find it too dry.,보송함|재도포|유분 케어,건성 피부 건조감 가능,https://www.marksandspencer.com/matte-sun-stick-mugwort-camelia-18g/p/hbp61218671,2026-05-12
torriden-dive-in-watery-moisture-sun-cream,큐레이션 리뷰 신호: 다이브인 라인의 수분 선크림으로 촉촉한 마무리와 장벽 보조 루틴에 맞습니다.,Curated review signal: A Dive-In line hydrating sunscreen suited to dewy finish and barrier-support routines.,수분감|데일리 선크림|촉촉함,히알루론산 회피 시 제외,https://www.torriden.com/goods/goods_view.php?goodsNo=173,2026-05-12
