id,name,display_name_ko,brand,category,country,ingredients,claims,suited_skin_types,concerns,avoid_for,price_usd,rating,review_count,source_url,ingredient_source_url,verified_at,image_url,image_verified_source,image_source_type,image_confidence,image_view_type,oliveyoung_url,oliveyoung_price_krw,official_url,texture_tags,oliveyoung_verified_at
banila-co-clean-it-zero-cleansing-balm,Banila Co Clean It Zero Cleansing Balm Original,바닐라코 클린잇제로 클렌징밤 오리지널,Banila Co,cleanser,Korea,Ethylhexyl Palmitate|Cetyl Ethylhexanoate|PEG-20 Glyceryl Triisostearate|Butylene Glycol|Papaya Extract|Acerola Extract,cleansing balm|makeup removal|sherbet texture,normal|combination|dry,clogged_pores|oil_control|texture,sensitive,22.0,4.5,2600,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,https://incidecoder.com/products/banila-co-clean-it-zero-cleansing-balm-original,2026-05-12,https://banilausa.com/cdn/shop/files/180ml01.jpg?v=1775637077,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%B0%94%EB%8B%90%EB%9D%BC%EC%BD%94%20%ED%81%B4%EB%A6%B0%EC%9E%87%EC%A0%9C%EB%A1%9C%20%ED%81%B4%EB%A0%8C%EC%A7%95%EB%B0%A4,22000,https://banilausa.com/products/clean-it-zero-cleansing-balm-original,balm|rich,2026-05-12 00:00 KST
torriden-dive-in-cleansing-foam,Torriden Dive-In Low Molecular Hyaluronic Acid Cleansing Foam,토리든 다이브인 저분자 히알루론산 클렌징 폼,Torriden,cleanser,Korea,Water|Glycerin|Sodium Cocoyl Isethionate|Cocamidopropyl Betaine|Sodium Hyaluronate|Hyaluronic Acid|Panthenol|Allantoin,foam cleanser|hydrating|low irritation,dry|normal|combination|sensitive,hydration|barrier_support|redness,,15.0,4.5,900,https://torriden.us/products/dive-in-cleansing-foam,https://incidecoder.com/products/torriden-dive-in-low-molecular-hyaluronic-acid-cleansing-foam,2026-05-12,https://torriden.us/cdn/shop/files/01_99724da0-cdf3-4eba-bc6a-1b55fcfa0e45.jpg?v=1753418844&width=1920,https://torriden.us/products/dive-in-cleansing-foam,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%ED%86%A0%EB%A6%AC%EB%93%A0%20%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8%20%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC,15000,https://torriden.us/products/dive-in-cleansing-foam,foam|dewy,2026-05-12 00:00 KST
round-lab-1025-dokdo-toner,Round Lab 1025 Dokdo Toner,라운드랩 1025 독도 토너,Round Lab,toner,Korea,Water|Butylene Glycol|Glycerin|Sea Water|Panthenol|Allantoin|Betaine,watery toner|daily toner|light exfoliation,sensitive|oily|combination|normal|dry,hydration|barrier_support|redness|texture,,17.0,4.6,3200,https://roundlab.com/products/1025-dokdo-toner,https://incidecoder.com/products/round-lab-1025-dokdo-toner-2,2026-05-12,https://roundlab.com/cdn/shop/files/Dokdo_Toner_2025.png?v=1772851199,https://roundlab.com/products/1025-dokdo-toner,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9%201025%20%EB%8F%85%EB%8F%84%20%ED%86%A0%EB%84%88,17000,https://roundlab.com/products/1025-dokdo-toner,watery|lightweight,2026-05-12 00:00 KST
torriden-dive-in-low-molecular-hyaluronic-acid-toner,Torriden Dive-In Low Molecular Hyaluronic Acid Toner,토리든 다이브인 저분자 히알루론산 토너,Torriden,toner,Korea,Water|Butylene Glycol|Dipropylene Glycol|Glycerin|Sodium Hyaluronate|Hyaluronic Acid|Panthenol|Allantoin,watery toner|hydrating|low molecular hyaluronic acid,dry|normal|combination|sensitive,hydration|barrier_support|redness,,23.0,4.5,1200,https://torriden.us/products/dive-in-toner,https://incidecoder.com/products/torriden-dive-in-low-molecule-hyaluronic-acid-toner,2026-05-12,https://torriden.us/cdn/shop/files/01_6f34ac38-4c42-4eaf-bf72-e810b08b3d42.jpg?v=1753418783&width=1920,https://torriden.us/products/dive-in-toner,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%ED%86%A0%EB%A6%AC%EB%93%A0%20%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8%20%ED%86%A0%EB%84%88,23000,https://torriden.us/products/dive-in-toner,watery|dewy,2026-05-12 00:00 KST
abib-heartleaf-spot-pad-calming-touch,Abib Heartleaf Spot Pad Calming Touch,아비브 어성초 스팟 패드 카밍 터치,Abib,toner,Korea,Houttuynia Cordata Extract|Water|Glycerin|Butylene Glycol|Panthenol|Allantoin|Centella Asiatica Extract,toner pad|calming|heartleaf,sensitive|oily|combination|normal,redness|barrier_support|hydration|acne,,24.0,4.5,1900,https://en.abib.com/collections/skin-essentials/products/calming-touch,https://incidecoder.com/products/abib-heartleaf-spot-pad-calming-touch,2026-05-12,https://en.abib.com/cdn/shop/files/CT_ab985d23-5017-4a0a-897b-d342c25ef914.jpg?v=1765183451,https://en.abib.com/collections/skin-essentials/products/calming-touch,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%95%84%EB%B9%84%EB%B8%8C%20%EC%96%B4%EC%84%B1%EC%B4%88%20%EC%8A%A4%ED%8C%9F%20%ED%8C%A8%EB%93%9C,24000,https://en.abib.com/collections/skin-essentials/products/calming-touch,watery|lightweight,2026-05-12 00:00 KST
mediheal-madecassoside-blemish-pad,Mediheal Madecassoside Blemish Pad,메디힐 마데카소사이드 흔적 패드,Mediheal,toner,Korea,Water|Glycerin|Niacinamide|Madecassoside|Centella Asiatica Extract|Panthenol|Allantoin,toner pad|blemish care|soothing,sensitive|combination|normal|oily,redness|barrier_support|hyperpigmentation|hydration,,24.0,4.5,2500,https://medihealus.com/products/madecassoside-blemish-pad,https://incidecoder.com/products/mediheal-madecassoside-blemish-pad,2026-05-12,https://mediheal.com/cdn/shop/files/83.jpg?v=1762926412,https://medihealus.com/products/madecassoside-blemish-pad,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%A9%94%EB%94%94%ED%9E%90%20%EB%A7%88%EB%8D%B0%EC%B9%B4%EC%86%8C%EC%82%AC%EC%9D%B4%EB%93%9C%20%ED%9D%94%EC%A0%81%20%ED%8C%A8%EB%93%9C,24000,https://medihealus.com/products/madecassoside-blemish-pad,watery|lightweight,2026-05-12 00:00 KST
torriden-dive-in-serum,Torriden Dive-In Low Molecular Hyaluronic Acid Serum,토리든 다이브인 저분자 히알루론산 세럼,Torriden,serum,Korea,Water|Butylene Glycol|Glycerin|Sodium Hyaluronate|Hyaluronic Acid|Panthenol|Allantoin|Malachite Extract,hydrating serum|low molecular hyaluronic acid|watery,dry|normal|combination|sensitive,hydration|barrier_support|redness,,24.0,4.7,3300,https://torriden.us/products/dive-in-serum,https://incidecoder.com/products/torriden-dive-in-low-molecular-hyaluronic-acid-serum,2026-05-12,https://torriden.us/cdn/shop/files/DIVEINSerum1_631ac0e3-a77b-422a-a806-bf34477cac19.jpg?v=1753346213&width=1920,https://torriden.us/products/dive-in-serum,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%ED%86%A0%EB%A6%AC%EB%93%A0%20%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8%20%EC%84%B8%EB%9F%BC,24000,https://torriden.us/products/dive-in-serum,watery|dewy,2026-05-12 00:00 KST
mixsoon-bean-essence,Mixsoon Bean Essence,믹순 콩 에센스,Mixsoon,serum,Korea,Water|Glycerin|Glycine Soja Seed Extract|Lactobacillus Ferment|Pear Extract|Pomegranate Extract|Barley Seed Extract,essence|gentle exfoliation|glow,dry|normal|combination,hydration|texture|barrier_support,oily,35.0,4.4,1100,https://mixsoon.us/collections/by-benefits/products/mixsoon-bean-essence-50ml,https://incidecoder.com/products/mixsoon-bean-essence,2026-05-12,https://mixsoon.us/cdn/shop/files/beanessencebestseller.png?v=1766121901,https://mixsoon.us/collections/by-benefits/products/mixsoon-bean-essence-50ml,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%AF%B9%EC%88%9C%20%EC%BD%A9%20%EC%97%90%EC%84%BC%EC%8A%A4,35000,https://mixsoon.us/collections/by-benefits/products/mixsoon-bean-essence-50ml,dewy|gel,2026-05-12 00:00 KST
goodal-green-tangerine-vita-c-dark-spot-serum,Goodal Green Tangerine Vita C Dark Spot Care Serum,구달 청귤 비타C 잡티 케어 세럼,Goodal,serum,Korea,Water|Butylene Glycol|Niacinamide|Ascorbyl Glucoside|Citrus Tangerina Extract|Arbutin|Panthenol,vitamin c|dark spot care|glow,normal|combination|oily,hyperpigmentation|barrier_support|hydration,sensitive,28.0,4.5,2200,https://goodalcosmetic.jp/products/goodal-%E3%82%B0%E3%83%BC%E3%83%80%E3%83%AB-%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB-%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%BF%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%B3%E3%83%93%E3%82%BFc%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%A9%E3%83%A0-40ml-%E7%BE%8E%E5%AE%B9%E6%B6%B2-green-tangerine-vita-c-dark-spot-care-serum,https://incidecoder.com/products/goodal-green-tangerine-vita-c-dark-spot-serum,2026-05-12,https://goodalcosmetic.jp/cdn/shop/files/Main_sub_001_9ec9f244-cdc4-4262-a861-07fb852ffb7d.jpg?v=1697185957,https://goodalcosmetic.jp/products/goodal-%E3%82%B0%E3%83%BC%E3%83%80%E3%83%AB-%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB-%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%BF%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%B3%E3%83%93%E3%82%BFc%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%A9%E3%83%A0-40ml-%E7%BE%8E%E5%AE%B9%E6%B6%B2-green-tangerine-vita-c-dark-spot-care-serum,official,verified,verified_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EA%B5%AC%EB%8B%AC%20%EC%B2%AD%EA%B7%A4%20%EB%B9%84%ED%83%80C%20%EC%9E%A1%ED%8B%B0%20%EC%BC%80%EC%96%B4%20%EC%84%B8%EB%9F%BC,28000,https://goodalcosmetic.jp/products/goodal-%E3%82%B0%E3%83%BC%E3%83%80%E3%83%AB-%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB-%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%BF%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%B3%E3%83%93%E3%82%BFc%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%A9%E3%83%A0-40ml-%E7%BE%8E%E5%AE%B9%E6%B6%B2-green-tangerine-vita-c-dark-spot-care-serum,lightweight|dewy,2026-05-12 00:00 KST
beauty-of-joseon-glow-serum-propolis-niacinamide,Beauty of Joseon Glow Serum Propolis + Niacinamide,조선미녀 글로우 세럼 프로폴리스 나이아신아마이드,Beauty of Joseon,serum,Korea,Propolis Extract|Niacinamide|Glycerin|Water|Betaine Salicylate|Tea Tree Extract|Centella Asiatica Extract,glow serum|propolis|niacinamide,oily|combination|normal,acne|oil_control|hyperpigmentation|hydration,salicylate_allergy,17.0,4.5,1800,https://beautyofjoseon.com/products/glow-serum-propolis-niacinamide,https://incidecoder.com/products/beauty-of-joseon-glow-serum,2026-05-12,https://beautyofjoseon.com/cdn/shop/files/glow-serum-propolis-niacinamide-1-front.webp?v=1770278801,https://beautyofjoseon.com/products/glow-serum-propolis-niacinamide,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80%20%EA%B8%80%EB%A1%9C%EC%9A%B0%20%EC%84%B8%EB%9F%BC,17000,https://beautyofjoseon.com/products/glow-serum-propolis-niacinamide,lightweight|dewy,2026-05-12 00:00 KST
numbuzin-no-5-vitamin-concentrated-serum,Numbuzin No.5+ Vitamin Concentrated Serum,넘버즈인 5번 비타민 농축 세럼,Numbuzin,serum,Korea,Water|Niacinamide|Tranexamic Acid|Panthenol|Glutathione|Ascorbic Acid|Hippophae Rhamnoides Water,vitamin serum|tone care|dark spot care,normal|combination|oily,hyperpigmentation|barrier_support|hydration,sensitive,32.0,4.5,1700,https://us.numbuzin.com/products/no-5-vitamin-concentrated-serum,https://incidecoder.com/products/numbuzin-no-5-vitamin-concentrated-serum,2026-05-12,https://us.numbuzin.com/cdn/shop/files/260428___________04RD.jpg?v=1778034516&width=2048,https://us.numbuzin.com/products/no-5-vitamin-concentrated-serum,official,verified,verified_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%84%98%EB%B2%84%EC%A6%88%EC%9D%B8%205%EB%B2%88%20%EB%B9%84%ED%83%80%EB%AF%BC%20%EB%86%8D%EC%B6%95%20%EC%84%B8%EB%9F%BC,32000,https://us.numbuzin.com/products/no-5-vitamin-concentrated-serum,lightweight|dewy,2026-05-12 00:00 KST
round-lab-pine-calming-cica-ampoule,Round Lab Pine Calming Cica Ampoule,라운드랩 소나무 진정 시카 앰플,Round Lab,serum,Korea,Water|Glycerin|Pinus Densiflora Leaf Extract|Centella Asiatica Extract|Madecassoside|Panthenol|Allantoin,cica ampoule|soothing|calming,sensitive|oily|combination|normal,redness|barrier_support|hydration|acne,,30.0,4.4,900,https://roundlab.com/products/pine-tree-cica-care-ampoule,https://incidecoder.com/products/round-lab-pine-calming-cica-ampoule,2026-05-12,https://roundlab.com/cdn/shop/files/pine-calming-cica-ampoule-round-lab-1.png?v=1772849532,https://roundlab.com/products/pine-tree-cica-care-ampoule,official,verified,single_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9%20%EC%86%8C%EB%82%98%EB%AC%B4%20%EC%A7%84%EC%A0%95%20%EC%8B%9C%EC%B9%B4%20%EC%95%B0%ED%94%8C,30000,https://roundlab.com/products/pine-tree-cica-care-ampoule,lightweight|dewy,2026-05-12 00:00 KST
illiyoon-ceramide-ato-concentrate-cream,Illiyoon Ceramide Ato Concentrate Cream,일리윤 세라마이드 아토 집중 크림,Illiyoon,moisturizer,Korea,Water|Glycerin|Butylene Glycol|Ceramide NP|Panthenol|Cholesterol|Stearic Acid,ceramide cream|barrier care|fragrance-free,dry|sensitive|normal|combination,barrier_support|hydration|dryness|redness,oily,20.0,4.7,4200,https://incidecoder.com/products/illiyoon-ceramide-ato-concentrate-cream-2027,https://incidecoder.com/products/illiyoon-ceramide-ato-concentrate-cream,2026-05-12,https://m.media-amazon.com/images/I/61j21yhbbnL._SL1500_.jpg,https://www.amazon.com/illiyoon-Ceramide-Concentrate-Cream-200ml/dp/B07L88G5ZD,retailer,verified,verified_product,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=%EC%9D%BC%EB%A6%AC%EC%9C%A4%20%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C%20%EC%95%84%ED%86%A0%20%EC%A7%91%EC%A4%91%20%ED%81%AC%EB%A6%BC,20000,https://incidecoder.com/products/illiyoon-ceramide-ato-concentrate-cream-2027,rich|cream,2026-05-12 00:00 KST
